"","GEOID","total","over_200","percent"
"1","36005000100",0,0,NA
"2","36005000200",1303,25,1.91864927091328
"3","36005000400",1682,90,5.35077288941736
"4","36005001600",1940,36,1.85567010309278
"5","36005001900",745,0,0
"6","36005002000",3009,34,1.12994350282486
"7","36005002300",1920,0,0
"8","36005002400",0,0,NA
"9","36005002500",1826,9,0.492880613362541
"10","36005002701",1054,0,0
"11","36005002702",1343,0,0
"12","36005002800",2299,46,2.00086994345368
"13","36005003100",473,0,0
"14","36005003300",1159,0,0
"15","36005003500",1275,0,0
"16","36005003700",83,0,0
"17","36005003800",407,0,0
"18","36005003900",1956,4,0.204498977505113
"19","36005004001",503,12,2.38568588469185
"20","36005004100",1978,26,1.314459049545
"21","36005004200",2698,0,0
"22","36005004300",1726,9,0.52143684820394
"23","36005004400",1673,70,4.18410041841004
"24","36005004600",662,9,1.3595166163142
"25","36005004800",1326,7,0.52790346907994
"26","36005005001",1460,0,0
"27","36005005002",1583,0,0
"28","36005005100",1959,0,0
"29","36005005200",708,0,0
"30","36005005300",1500,0,0
"31","36005005400",1615,23,1.42414860681115
"32","36005005600",909,10,1.1001100110011
"33","36005005902",1029,0,0
"34","36005006000",358,0,0
"35","36005006100",1994,26,1.30391173520562
"36","36005006200",2301,0,0
"37","36005006300",1998,0,0
"38","36005006400",1239,20,1.61420500403551
"39","36005006500",1761,0,0
"40","36005006700",2268,0,0
"41","36005006800",982,11,1.12016293279022
"42","36005006900",2469,0,0
"43","36005007000",1268,12,0.946372239747634
"44","36005007100",575,0,0
"45","36005007200",1744,17,0.974770642201835
"46","36005007300",1295,9,0.694980694980695
"47","36005007400",1405,0,0
"48","36005007500",1641,12,0.731261425959781
"49","36005007600",1611,41,2.54500310366232
"50","36005007700",592,0,0
"51","36005007800",2065,0,0
"52","36005007900",2175,0,0
"53","36005008300",1945,8,0.411311053984576
"54","36005008400",702,27,3.84615384615385
"55","36005008500",1634,29,1.77478580171359
"56","36005008600",1366,0,0
"57","36005008700",1768,0,0
"58","36005008900",1139,8,0.702370500438982
"59","36005009000",1184,6,0.506756756756757
"60","36005009200",1683,13,0.77243018419489
"61","36005009300",1754,0,0
"62","36005009600",658,0,0
"63","36005009800",1713,22,1.28429655575015
"64","36005011000",52,0,0
"65","36005011502",1445,0,0
"66","36005011700",570,0,0
"67","36005011800",1694,187,11.038961038961
"68","36005011900",1939,13,0.670448684889118
