"X","id","s000","s000_d0","s000_d1","s000_d2","s000_d3","coords.x1","coords.x2","optional"
35354,360050002001002,4,4,0,0,0,1835455.375,586126.125,TRUE
35355,360050002001004,5,5,0,0,0,1835682.25,586181.9375,TRUE
35356,360050002002002,6,6,0,0,0,1835693.5,585970.25,TRUE
35357,360050002002003,4,4,0,0,0,1835619.625,585943.1875,TRUE
35358,360050002002010,3,3,0,0,0,1835915.875,585997.9375,TRUE
35359,360050002003000,5,5,0,0,0,1835957,585835.6875,TRUE
35360,360050002003011,3,3,0,0,0,1836082.75,585657.8125,TRUE
35361,360050002003012,9,9,0,0,0,1836175.625,585455.4375,TRUE
35362,360050002003014,4,4,0,0,0,1836083,585471.875,TRUE
35363,360050002003017,4,4,0,0,0,1835951.5,585534.8125,TRUE
35364,360050004001000,2,1,1,0,0,1835818.625,586284.9375,TRUE
35365,360050004001001,6,5,1,0,0,1835742.625,586261,TRUE
35366,360050004001004,3,3,0,0,0,1835912.875,586085.125,TRUE
35367,360050004002004,25,21,4,0,0,1835994.875,586098.0625,TRUE
35368,360050004002006,2,2,0,0,0,1836169.5,585914.4375,TRUE
35369,360050004002007,5,5,0,0,0,1836088.75,585878.875,TRUE
35370,360050004003003,24,19,5,0,0,1836250.875,585735.1875,TRUE
35371,360050004003008,7,7,0,0,0,1836534.875,585458.8125,TRUE
35372,360050004004000,1,1,0,0,0,1836623.375,586396.8125,TRUE
35373,360050004004006,11,10,1,0,0,1836646.75,586203.9375,TRUE
35374,360050004004007,105,73,28,4,0,1836694.375,586231.5,TRUE
35375,360050016001000,205,201,4,0,0,1835426.625,586899.6875,TRUE
35376,360050016002001,3,3,0,0,0,1835577.5,586441.5625,TRUE
35377,360050016002002,8,8,0,0,0,1835501,586433.9375,TRUE
35378,360050016002004,2,2,0,0,0,1835435.25,586361.8125,TRUE
35379,360050016002005,42,39,3,0,0,1835520.125,586334.3125,TRUE
35380,360050016003000,6,6,0,0,0,1835630,587167.75,TRUE
35381,360050016004005,148,144,4,0,0,1835809.75,586538.1875,TRUE
35382,360050016004008,2,2,0,0,0,1835482.875,586661.4375,TRUE
35383,360050019001002,5,4,1,0,0,1830089.5,584302.125,TRUE
35384,360050019001003,189,166,23,0,0,1830045,584197.9375,TRUE
35385,360050019001004,256,228,28,0,0,1830197.75,584154.9375,TRUE
35386,360050019001009,158,147,11,0,0,1830393,584098.625,TRUE
35387,360050019001010,155,143,12,0,0,1830632.875,584029.625,TRUE
35388,360050019001015,95,89,6,0,0,1830921.625,583945.8125,TRUE
35389,360050019001016,33,32,1,0,0,1830801.25,583981,TRUE
35390,360050019001017,10,8,2,0,0,1830778.625,583899,TRUE
35391,360050019001018,15,13,2,0,0,1830687.5,583922.75,TRUE
35392,360050019001020,26,21,5,0,0,1830370.375,584016,TRUE
35393,360050019001021,171,144,27,0,0,1830175.75,584072.4375,TRUE
35394,360050019001022,246,213,33,0,0,1830898.625,583863.125,TRUE
35395,360050019002002,51,43,8,0,0,1831043.5,583913.875,TRUE
35396,360050019002003,83,76,7,0,0,1831115.5,583799.75,TRUE
35397,360050019003000,7,7,0,0,0,1831589.25,584122.8125,TRUE
