"","X","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"1",1,360050002001002,2.296875,0,2,2,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2,1,1,0,3,1
"2",2,360050002001004,5.8828125,0,7,1,6,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,3,2,4,0,2,8,0
"3",3,360050002002002,7.35546875,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,3,0,1,0,0,2,0,6,0,0,4,0,2,4
"4",4,360050002002003,4.76953125,0,0,4,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,3,0,1,0,4,0
"5",5,360050002002010,7.41015625,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,1,2,0,0,1,2
"6",6,360050002003000,6.234375,0,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3,0,0,1,0,1,1,4,2,1,1,1,4,1
"7",7,360050002003011,0.59765625,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,2,0,1,0,1,2
"8",8,360050002003012,9.38671875,0,9,1,3,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,3,7,3,4,1,2,4,6
"9",9,360050002003014,5.4296875,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,1,0,0,0,1,3,1,0,3,0,3,1
"10",10,360050002003017,5.4296875,0,3,1,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,1,3,0,0,3,1
"11",11,360050004001000,1.953125,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,1,1,0,0,2
"12",12,360050004001001,9.34375,1,3,6,4,2,4,0,0,0,0,0,2,1,1,0,3,0,0,0,1,0,0,0,0,2,0,9,0,0,0,0,1,2,8,4,2,2,1,6,4
