"","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"1","360050001001000",1507,426,805,276,520,635,352,4,0,5,67,56,51,222,124,19,36,39,36,13,110,175,320,22,124,59,25,837,600,11,37,9,13,1174,333,202,275,336,268,713,794
"2","360050001001013",27,9,12,6,10,6,11,0,0,0,2,1,1,1,1,0,0,3,2,1,3,1,6,2,2,1,0,12,3,2,9,0,1,21,6,3,1,8,6,13,14
"3","360050002001000",610,142,349,119,151,206,253,0,0,5,17,16,16,69,54,16,16,16,21,8,29,80,112,10,38,20,67,327,225,5,40,1,12,324,286,100,107,142,119,286,324
"4","360050002001001",68,12,43,13,12,29,27,0,0,0,5,4,2,9,0,2,5,4,4,0,4,1,19,0,7,2,0,50,15,2,1,0,0,19,49,13,13,18,12,38,30
"5","360050002001002",58,12,33,13,11,18,29,0,0,0,0,1,3,3,0,0,5,5,4,3,8,0,16,1,6,2,1,40,14,1,1,1,1,22,36,8,8,22,8,22,36
"6","360050002001003",67,12,45,10,12,21,34,0,0,1,1,1,3,6,1,4,3,6,5,1,3,4,15,1,6,5,1,27,28,2,5,2,3,33,34,12,8,21,14,28,39
"7","360050002001004",20,4,11,5,3,8,9,0,0,1,1,0,0,3,4,0,0,1,1,0,3,1,5,0,0,0,0,13,5,0,0,2,0,5,15,3,4,6,3,9,11
"8","360050002002000",34,8,18,8,3,14,17,0,0,0,1,2,1,6,2,0,2,2,0,1,1,4,8,1,0,2,1,22,7,2,3,0,0,8,26,9,2,11,4,17,17
"9","360050002002001",59,16,30,13,14,16,29,0,0,0,2,1,2,10,1,2,8,2,5,2,5,2,10,3,4,0,0,41,6,0,9,0,3,24,35,7,11,13,12,28,31
"10","360050002002002",62,9,42,11,14,25,23,0,0,0,2,2,4,6,4,0,5,3,3,1,5,2,17,2,2,4,0,40,15,2,2,0,3,21,41,12,11,15,15,29,33
"11","360050002002003",53,8,34,11,14,18,21,0,0,0,2,1,3,4,2,2,3,3,4,1,5,3,14,1,3,1,1,33,16,0,0,0,4,21,32,11,11,11,12,25,28
"12","360050002002004",49,12,27,10,11,17,21,0,0,2,1,2,2,5,4,1,6,1,2,0,1,4,11,2,4,1,0,27,14,3,2,2,1,23,26,7,8,11,11,24,25
"13","360050002002005",20,6,11,3,2,7,11,0,0,0,0,0,1,3,0,3,0,0,3,0,0,1,4,0,3,2,0,14,4,0,1,0,1,9,11,3,4,3,4,14,6
"14","360050002002006",119,31,68,20,22,31,66,0,0,0,2,2,6,14,3,2,12,4,10,3,7,5,25,4,12,6,2,58,49,1,7,0,4,51,68,16,25,32,15,66,53
"15","360050002002007",69,14,45,10,14,35,20,0,0,0,3,2,2,6,1,2,3,3,1,1,9,2,18,3,6,6,1,25,39,0,0,0,5,42,27,11,20,16,8,30,39
"16","360050002002008",9,2,4,3,5,2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,3,0,1,0,0,6,3,0,0,0,0,5,4,2,1,2,2,4,5
"17","360050002002009",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
"18","360050002002010",15,3,10,2,5,7,3,0,0,0,1,0,1,2,1,1,0,2,1,0,1,0,1,2,0,2,0,15,0,0,0,0,0,6,9,4,1,3,4,7,8
"19","360050002003000",42,12,25,5,8,18,16,0,0,0,3,1,1,2,0,2,0,2,4,0,4,2,11,0,6,3,1,30,11,0,1,0,0,22,20,10,6,5,9,22,20
"20","360050002003001",36,6,26,4,3,17,16,0,0,0,2,1,2,2,2,2,1,0,2,0,5,0,10,2,3,1,1,26,6,0,3,0,1,12,24,8,11,8,3,20,16
"21","360050002003002",12,3,4,5,3,3,6,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,2,0,1,1,0,8,4,0,0,0,0,10,2,0,6,1,2,8,4
"22","360050002003003",9,5,3,1,2,2,5,0,0,0,0,0,1,1,1,0,2,1,0,0,1,0,2,0,0,0,0,7,1,1,0,0,0,0,9,2,0,2,0,6,3
"23","360050002003004",10,3,5,2,4,2,4,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,2,0,2,0,0,7,3,0,0,0,0,3,7,3,1,2,1,3,7
"24","360050002003005",10,3,5,2,2,5,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,1,3,0,0,9,1,0,0,0,0,9,1,0,1,2,4,5,5
"25","360050002003006",18,4,8,6,5,7,6,0,0,0,0,0,2,1,0,1,0,1,1,0,1,0,7,1,3,0,0,14,2,0,2,0,0,7,11,1,7,6,0,6,12
"26","360050002003007",12,2,6,4,2,7,3,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,4,0,2,0,0,4,8,0,0,0,0,8,4,4,2,3,1,7,5
"27","360050002003008",17,3,12,2,5,2,10,0,0,0,0,0,1,2,0,1,1,0,1,0,1,0,5,1,2,2,0,12,4,0,1,0,0,6,11,3,4,4,3,8,9
"28","360050002003009",17,3,11,3,2,9,6,0,0,0,0,0,1,1,1,0,2,0,0,0,5,2,5,0,0,0,0,5,8,0,3,0,1,13,4,2,1,7,4,10,7
"29","360050002003010",22,5,14,3,4,7,11,0,0,0,0,1,2,2,0,0,4,0,0,1,1,1,7,0,3,0,0,8,13,0,1,0,0,14,8,3,7,5,2,7,15
"30","360050002003011",35,5,23,7,11,7,17,0,0,0,1,0,0,7,2,0,2,2,0,1,4,1,6,1,4,3,1,16,11,0,7,0,1,19,16,4,5,9,12,17,18
"31","360050002003012",8,2,3,3,2,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,1,1,0,6,2,0,0,0,0,3,5,3,0,2,1,4,4
"32","360050002003013",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
"33","360050002003014",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
"34","360050002003015",6,3,2,1,2,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,0,1,2,0,0,0,3,0,6,0,0,3,0,3,3
"35","360050002003016",4,1,1,2,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,1,1,1,3,1
"36","360050002003017",9,6,2,1,3,4,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,1,2,0,9,0,0,0,0,0,8,1,1,1,0,1,4,5
"37","360050002003018",3,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,2,0,2,0,1,2,1
"38","360050002003022",3,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,1,2,1,0,1,0,3,0
"39","360050002003023",12,4,4,4,3,5,4,0,0,0,1,0,2,2,0,0,2,0,0,0,0,0,4,0,1,0,0,10,2,0,0,0,0,6,6,4,2,0,2,3,9
"40","360050002003024",11,2,7,2,1,3,7,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,5,1,0,0,0,6,5,0,0,0,0,7,4,1,3,2,3,4,7
"41","360050002003025",7,2,5,0,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,1,0,0,2,4,0,0,0,1,0,7,2,0,3,0,3,4
"42","360050002003026",6,2,4,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,4,1,0,0,0,1,4,2,1,0,1,2,4,2
"43","360050002003027",9,3,5,1,3,1,5,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,3,0,0,2,0,8,1,0,0,0,0,4,5,0,3,2,1,4,5
"44","360050004001000",831,170,507,154,201,305,325,0,0,3,26,25,24,96,57,20,18,33,33,14,55,120,138,15,54,20,80,449,337,6,25,1,13,407,424,140,153,199,169,388,443
"45","360050004001001",61,20,32,9,12,19,30,0,0,0,2,1,2,6,3,2,2,2,8,0,5,2,17,1,4,3,1,30,22,2,6,0,1,23,38,9,4,16,12,25,36
"46","360050004001002",8,3,4,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,2,0,0,4,3,0,0,0,1,2,6,1,0,2,2,5,3
"47","360050004001004",24,7,12,5,5,11,8,0,0,0,0,1,2,2,2,0,1,0,1,0,2,0,6,0,5,1,1,13,10,0,0,0,1,9,15,4,7,5,1,6,18
"48","360050004002000",6,0,2,4,0,2,4,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,1,0,0,4,1,1,0,0,0,1,5,1,1,2,2,3,3
"49","360050004002001",4,1,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,2,0,0,0,0,2,2,2,0,0,1,2,2
"50","360050004002003",152,35,87,30,30,66,56,1,0,2,5,3,3,11,2,8,9,5,5,1,9,6,46,5,18,7,6,90,39,0,20,0,3,66,86,21,27,36,33,73,79
"51","360050004002004",48,13,27,8,15,15,18,0,0,0,2,0,0,4,4,4,1,2,1,2,3,1,13,0,7,3,1,38,9,0,1,0,0,24,24,6,6,9,14,17,31
