"id","day","call_time","location"
1,3,20,360610277001000
1,3,11,360610074003000
1,3,19,360610021002006
1,3,2,360610086021001
1,3,13,360610205001007
1,3,13,360470037001012
1,3,13,360610074003000
1,3,9,360610021001010
1,3,15,360610090001001
1,3,16,360610124007001
1,3,8,360610125001003
1,3,15,360470009001004
1,3,21,360610089002001
1,3,15,360610104001006
1,3,13,360470348002000
1,3,18,360610104001003
1,3,15,360610031001007
1,3,11,360610050002001
1,3,15,360610007001008
1,3,16,360610112021001
1,3,12,360610113001008
1,3,18,360610013001016
1,3,13,360470159001002
1,3,9,360470535001001
1,3,16,360610057001005
1,3,13,360610109001003
1,3,12,360470037001011
1,3,18,360850170051007
1,3,15,360470228003001
1,3,21,360850207003007
1,3,21,360470329001000
1,3,11,360610061003000
1,3,16,360810169001000
1,3,10,360810480001009
1,3,19,360610084002002
1,3,16,360610096001004
1,3,20,360050216025000
1,3,10,360810331001000
1,3,20,360050077001004
1,3,8,360610021001010
1,3,9,360470285011002
1,3,15,360610021001010
1,3,11,360470049001000
1,3,16,360610100001004
1,3,9,360050323004000
1,3,18,360610049001004
1,3,17,360610052002006
1,3,11,360810277002001
1,3,15,360850223002003
1,3,14,360850112011000
1,3,15,360610143001034
1,3,23,360470496001003
1,3,13,360610087001000
1,3,7,360610096001004
1,3,17,360810716001061
1,3,1,360050420002001
1,3,19,360610104001008
1,3,14,360810219001020
1,3,17,360470033002004
1,3,14,360610212002000
1,3,16,360610104001006
1,3,18,360610007001010
1,3,18,360610101001001
1,3,16,360610106022001
1,3,14,360610119001003
1,3,10,360471116002020
1,4,18,360610116001004
1,4,23,360810489002001
1,4,17,360610031001014
1,4,22,360050096001003
1,4,12,360610109001007
1,4,20,360050147022000
1,4,9,360610013002005
1,4,15,360610065001004
1,4,9,360610021001011
1,4,19,360610062001000
1,4,4,360850239002007
1,4,9,360610103001010
1,4,9,360810853001000
1,4,18,360470666001000
1,4,11,360810637002003
1,4,13,360470517002004
1,4,22,360610103001000
1,4,21,360050210014000
1,4,11,360610029004007
1,4,21,360610028004003
1,4,11,360050296002000
1,4,11,360850067001011
1,4,14,360610029001003
1,4,14,360610084002004
1,4,21,360850170082004
1,4,10,360610135001000
1,4,14,360811567001000
1,4,10,360610121004000
1,4,20,360810719002000
1,4,20,360470589001007
1,4,10,360050115023002
1,4,8,360610094001006
1,4,8,360810717013001
1,4,13,360610033001003
1,4,10,360610043003004
1,4,11,360610096001002
1,4,10,360470011001006
1,4,18,360610007001018
1,4,14,360610021001010
1,4,10,360810179002016
1,4,14,360610090005001
1,4,11,360050221022000
1,4,13,360610119001006
1,4,15,360610203002000
1,4,13,360810106001003
1,4,13,360810799001004
1,4,21,360470266003000
1,5,7,360610031001007
1,5,21,360470435001002
1,5,21,360810747002002
1,5,20,360610007001004
1,5,3,360471020001001
1,5,17,360470878002001
1,5,12,360610074003000
1,5,10,360610033003009
1,5,17,360610104001003
1,5,16,360610039001014
1,5,18,360610054001002
1,5,18,360610149004000
1,5,18,360810334024000
1,5,19,360610058001002
1,5,10,360810480001009
1,5,9,360610009001026
1,5,17,360810716001037
1,5,16,360610233003001
1,5,11,360610021001011
1,5,18,360610099001020
1,5,15,360470816001001
1,5,8,360470009001004
1,5,10,360610100002005
1,5,11,360050421001000
1,5,19,360610119001006
1,5,13,360050065001002
1,5,8,360610112021005
1,5,21,360810539002003
1,5,18,360811551022008
1,5,12,360610166002001
1,5,19,360470009001004
1,5,3,360050046001012
1,5,12,360610031001007
1,5,20,360810062025005
1,5,20,360050380004007
1,6,15,360050025001000
1,6,19,360470554002000
1,6,18,360810633011003
1,6,16,360610013002005
1,6,14,360470214001000
1,6,19,360810007002000
1,6,10,360610091001003
1,6,17,360050044001000
1,6,14,360470325001000
1,6,13,360610015011014
1,6,16,360850169011024
1,6,15,360471160003000
1,6,9,360810347002011
1,6,16,360471158002003
1,6,8,360850146071007
1,6,1,360810320001014
1,6,13,360810081001005
1,6,20,360471124003003
1,6,1,360810467002001
1,6,12,360470222001001
1,6,16,360470056021003
1,6,11,360470179002003
1,6,23,360610193005000
1,6,22,360050117001004
1,6,1,360810334026011
1,6,16,360470553003001
1,6,11,360610231001001
1,6,17,360050442004004
1,6,17,360050037001000
1,6,8,360610291005000
1,6,12,360470728001007
1,6,11,360050151004001
1,6,11,360050023001005
1,6,21,360610136008001
1,6,10,360610159002001
1,6,12,360810769012004
1,6,10,360470610022002
1,6,14,360050027011001
1,6,10,360810367002008
1,6,10,360470508042001
1,6,13,360050216013000
1,6,19,360810439001002
1,6,19,360610231003002
1,6,14,360470281002001
1,6,17,360850170112009
1,6,17,360470208003002
1,6,8,360050297003000
1,6,10,360470301001000
1,6,12,360470005011000
1,6,19,360610238011016
1,6,15,360050300001005
1,6,18,360470106001000
1,6,16,360850231001006
1,6,10,360811571012004
1,6,11,360610028003001
1,6,8,360050056002000
1,6,20,360850059002001
1,6,14,360811257003002
1,6,14,360810205001017
1,6,19,360850156023000
1,6,13,360470446002002
1,6,8,360050184002002
1,6,20,360610070003000
1,6,9,360610065003002
1,6,23,360810504001008
1,6,16,360610026022002
1,6,10,360470580001003
1,6,8,360470250002005
1,6,16,360610146025000
1,6,7,360470281001000
1,6,19,360810972033001
1,6,14,360610099001022
1,6,19,360810972041000
1,6,19,360470443001000
1,6,12,360810330002003
1,6,14,360811191001004
1,6,24,360470828002004
1,6,9,360850074002010
1,6,14,360470501002000
1,6,14,360610144013000
1,6,16,360470516022001
1,6,9,360811227016000
1,6,14,360810475001001
1,6,3,360470572001001
1,6,20,360470526001003
1,6,8,360050161001003
1,6,15,360810126021001
1,6,9,360610030021000
1,6,14,360050027011001
1,6,18,360850105003000
1,6,20,360470796022000
1,6,17,360050462016002
1,6,8,360470283002000
1,6,11,360610309003002
1,6,19,360470790001000
1,6,18,360810939003009
1,6,15,360610245002001
1,6,9,360610059004000
1,6,19,360050202001005
1,6,15,360850097003013
1,6,17,360470481003003
1,6,14,360470537001004
1,6,18,360470280002005
1,6,20,360610159005001
1,6,12,360810075003000
1,6,16,360610121001001
1,6,11,360810404003005
1,6,12,360610163004001
1,6,18,360610118002001
1,6,15,360810007003007
1,6,20,360470616001011
1,6,16,360470349002000
1,6,8,360850040003000
1,6,17,360050297001007
1,6,12,360850208014012
1,6,8,360810452001002
1,6,21,360470212001003
1,6,21,360050053001002
1,6,10,360610090002000
1,6,12,360050183022001
1,6,11,360810538002001
1,6,17,360470640001001
1,6,11,360470273003002
1,6,20,360810126012000
1,6,9,360610211007000
1,6,11,360810174002000
1,6,9,360471150002004
1,6,14,360810214003002
1,6,9,360470112003001
1,6,19,360610028004003
1,6,9,360470136004001
1,6,14,360810593001004
1,6,20,360050222004001
1,6,8,360470916004000
1,6,16,360810400002004
1,6,21,360470555001005
1,6,19,360470491001002
1,6,13,360610029002001
1,6,18,360850177002014
1,6,8,360610026012000
1,6,18,360610181005000
1,6,19,360050342002001
1,6,18,360470075002001
1,6,20,360610022012001
1,6,14,360810713033000
1,6,13,360050422002001
1,6,1,360610253003000
1,6,23,360610212001000
1,6,21,360050451012004
1,6,13,360470221003002
1,6,14,360050516001001
1,6,9,360810180001003
1,6,17,360610149003000
1,6,15,360470822004001
1,6,19,360610045001004
1,6,13,360810267001001
