"id","home","work","commute","mean_calls","std_calls"
1,360050183022001,360471004001003,3,3,100
2,360050227031001,360810814003004,7,12,22
3,360470551003002,360810062022003,145,29,39
4,360810942011023,360470065002001,0,32,49
5,360471058012000,360470592003000,23,2,57
6,360470114001004,360810566001001,911,79,92
7,360810339003001,360470884003001,101,26,16
8,360811507021008,360470160003002,1,20,12
9,360470387002001,360470181001000,7,31,30
10,360470862002002,360810446011001,18,8,49
11,360470539002000,360050274022001,57,19,93
12,360470593001007,360470427004001,11,45,18
13,360470478001002,360610118001000,958,63,4
14,360471174001004,360471184002003,0,59,69
15,360810220021007,360050326002001,2,94,64
16,360610265005000,360470589002003,20,52,18
17,360850047001000,360050133001000,2,11,46
18,360610209011004,360050252001005,6,76,44
19,360610008004000,360850323001010,75,2,8
20,360810147001001,360050373003003,10,6,84
21,360811291022007,360810663002001,0,87,53
22,360470508043002,360470353001000,9,60,52
23,360610216002000,360470998001004,13,2,68
24,360470305002001,360811047004002,18,60,4
25,360850146061007,360470740001004,0,73,46
26,360810014001002,360810295001001,14,32,18
27,360811483003021,360850198003024,0,39,100
28,360610091001004,360470266003002,477,81,62
29,360470317012001,360610158021000,10,19,96
30,360810481002000,360470022002000,39,87,97
31,360470217001003,360811479002000,14,74,51
32,360610138001000,360470104001000,165,90,83
33,360050129012003,360470950001003,107,85,61
34,360610127005000,360470636001000,1859,81,67
35,360610245005001,360470584002004,19,61,63
36,360810479003005,360470001001010,0,77,44
37,360050266025002,360810741002002,4,76,57
38,360470782001001,360470584002004,0,57,82
39,360470221001002,360470201002001,8,54,72
40,360470589002003,360470416001001,26,21,45
41,360470485002002,360470431004000,11,49,71
42,360050237032001,360050265001004,37,35,33
43,360810149002002,360470069003000,10,98,47
44,360610144011000,360470525002000,129,87,25
45,360050177013001,360470922002001,229,84,14
46,360810130002000,360471210002000,3,86,96
47,360470768003004,360050027011001,29,77,79
48,360050183013001,360610132005000,86,42,84
49,360811059004002,360810583001002,0,86,32
50,360050087004000,360811033003002,12,27,37
51,360810889011010,360810358001007,1,63,32
52,360470552001002,360470902002000,23,94,34
53,360470406003001,360810972021029,3,92,30
54,360050516004009,360470112004001,1,76,73
55,360810484004001,360470998002001,0,54,61
56,360470986002000,360811347004000,4,16,31
57,360810478001002,360470529001002,7,18,55
58,360610065004001,360810030001001,265,72,29
59,360610063001001,360610231002003,539,35,29
60,360470167003001,360470674001001,17,2,74
61,360050019001010,360810145002001,155,84,67
62,360810176002002,360470197003001,0,49,16
63,360470900005000,360850176003001,2,42,20
64,360470982002001,360470399001002,1,81,90
65,360050189002000,360050462025006,8,90,41
66,360470356022000,360610078004000,24,83,57
67,360810001001008,360610157003000,65,86,70
68,360811147002009,360050386002007,1,37,54
69,360050048001002,360850277041002,32,74,24
70,360810384002001,360610099001035,0,75,39
71,360470160001001,360050083004001,14,27,96
72,360610241004000,360050367001000,882,100,2
73,360610152004000,360810483001004,116,69,15
74,360810779023004,360610052002004,4,31,82
75,360471118002002,360810121001002,2,38,60
76,360610015022007,360819901000007,121,98,61
77,360850170092013,360810664006006,7,81,73
78,360610029004002,360810493022014,22,76,37
79,360470762003001,360050224043001,27,48,88
80,360850132041008,360470553001002,0,34,93
81,360610095002000,360470698001005,2334,87,26
82,360610187005001,360811113001006,71,34,21
83,360810450002001,360610070001000,5,89,82
84,360610265003001,360610040002000,7,58,60
85,360810172001007,360050061001000,0,61,89
86,360470395001001,360610092001014,0,41,39
87,360050296001020,360470589002003,8,84,62
88,360470160003002,360610030021001,27,9,58
89,360811113003007,360810128001003,1,72,59
90,360850122004003,360810717022000,0,15,48
91,360810650002001,360610149002000,0,58,64
92,360810232002001,360470792001001,10,38,61
93,360610255002000,360610079004005,37,74,66
94,360470328001002,360050381004001,16,78,51
95,360610211006001,360610181006001,59,91,77
96,360811059004002,360470195004000,0,2,44
97,360850156012010,360050276001004,0,14,63
98,360470571002001,360850187024013,44,65,23
99,360810711003002,360470219002002,75,13,88
100,360470171003001,360810181013002,2,41,8
101,360810339002001,360810156002004,8,94,58
102,360810525001000,360610071005004,6,30,42
103,360610178003003,360470141002001,44,66,16
104,360470290003003,360470256001002,107,76,50
105,360850173001017,360850176001017,1,63,89
106,360050337003004,360470498003002,31,90,15
107,360471004001001,360810871001001,0,45,56
108,360050016001000,360610187002000,205,97,80
109,360810626002006,360050232002002,0,96,2
110,360610293003001,360811157002004,194,28,32
111,360470571004001,360810455005000,37,86,39
112,360050200001000,360850248003030,82,19,61
113,360470546001005,360050065002004,2,74,84
114,360470043002002,360610066007000,1675,75,81
115,360470190001000,360610271003000,573,48,40
116,360470766001001,360610138006000,7,1,80
117,360470236001000,360050225002002,111,35,70
118,360470268004000,360610168001001,3,73,19
119,360470858002002,360610093002001,10,42,49
120,360470217002000,360470221001001,42,54,34
121,360470564001001,360810818003003,32,66,63
122,360610174021002,360470482002001,239,9,74
123,360610128002000,360050053002001,101,87,6
124,360610245002000,360470750002000,115,36,42
125,360470826001000,360810849003000,5,4,31
126,360610201021000,360470722002003,10,11,16
127,360470572002001,360050135001000,41,58,69
